File,Category,Placement,Blocks movement?,Goes with,Draft notes / questions
Table Long.png,Furniture,"Place in reading, throne rooms, dining areas with a clear aisle around the group.",Yes,Chair01.png; Chair02.png; Book Red.png; Apple.png,Long table: use multiple chairs along its length. Confirm base footprint from the sprite.
Table.png,Furniture,"Place in reading, throne rooms, dining areas with a clear aisle around the group.",Yes,Chair01.png; Chair02.png; Book Red.png; Apple.png,Keep horizontal. Small items may sit on top without extra ground collision.
Throne.png,Furniture,Center against the back wall of a ceremonial room. or on higher ground must have room to approach,Yes,Flag Red Big.png; Paiting Big.png; Lamp Big.png,Rare focal point. Face into the room.
Tombstone 01.png,Furniture,Use burial alcoves or orderly memorial rows with clear approaches.,Yes,Coffin.png; Vase Grey.png; Skulls.png,Keep upright. Pair with a memorial or coffin rather than unrelated storage.
Tombstone 02.png,Furniture,Use burial alcoves or orderly memorial rows with clear approaches.,Yes,Coffin.png; Vase Grey.png; Skulls.png,Keep upright. Pair with a memorial or coffin rather than unrelated storage.
Tombstone Moss.png,Furniture,Use burial alcoves or orderly memorial rows with clear approaches.,Yes,Coffin.png; Vase Grey.png; Skulls.png,Prefer damp or abandoned burial areas.
Vase Grey Broken.png,Floor detail,Place sparse fragments near intact vases or abandoned room edges.,No,Vase Grey.png; Vase Yellow.png; Rock01.png,Suggested cosmetic debris. Do not imply a breakable-object mechanic unless approved.
Vase Grey.png,Furniture,"Place in corners, along walls, or in pairs flanking a memorial.",Yes,Coffin.png; Tombstone 02.png; Throne.png,Use small groups. Keep central travel lanes open.
Vase Yellow Broken.png,Floor detail,Place sparse fragments near intact vases or abandoned room edges.,No,Vase Grey.png; Vase Yellow.png; Rock01.png,Suggested cosmetic debris. Do not imply a breakable-object mechanic unless approved.
Vase Yellow.png,Furniture,"Place in corners, along walls, or in pairs flanking a memorial.",Yes,Coffin.png; Tombstone 02.png; Throne.png,Use small groups. Keep central travel lanes open.
Wall Chain 01.png,Wall decoration,"Attach to exposed wall faces in cells, burial rooms, dining areas",No,Iron Door.png; Coffin.png; Lamp.png,Use sparse pairs. Not a freestanding floor obstacle.
Wall Chain 02.png,Wall decoration,"Attach to exposed wall faces in cells, burial rooms, dining areas",No,Iron Door.png; Coffin.png; Lamp.png,Use sparse pairs. Not a freestanding floor obstacle.
