"File","Category","Placement","Blocks movement?","Goes with","Draft notes / questions","Review status","Your notes"
"Botton 01.png","Interactive fixture (?)","Mount on a reachable wall near the object it would control.","No (if wall-mounted)","Door Closed.png; Iron Door.png","Looks like a colored button. Confirm placement and whether variants are colors or interaction states. No switch mechanics assumed.","Draft",""
"Botton 02.png","Interactive fixture (?)","Mount on a reachable wall near the object it would control.","No (if wall-mounted)","Door Closed.png; Iron Door.png","Looks like a colored button. Confirm placement and whether variants are colors or interaction states. No switch mechanics assumed.","Draft",""
"Botton 03.png","Interactive fixture (?)","Mount on a reachable wall near the object it would control.","No (if wall-mounted)","Door Closed.png; Iron Door.png","Looks like a colored button. Confirm placement and whether variants are colors or interaction states. No switch mechanics assumed.","Draft",""
"Botton 04.png","Interactive fixture (?)","Mount on a reachable wall near the object it would control.","No (if wall-mounted)","Door Closed.png; Iron Door.png","Looks like a colored button. Confirm placement and whether variants are colors or interaction states. No switch mechanics assumed.","Draft",""
"Chair01.png","Furniture","Place beside a table, facing it, with space to approach.","Yes","Table.png; Table Long.png","Front-view chair. Confirm suitable table side; do not randomly rotate.","Draft",""
"Chair02.png","Furniture","Place beside a table, facing it, with space to approach.","Yes","Table.png; Table Long.png","Side-view chair. Use its facing direction when choosing table side.","Draft",""
"Chest.png","Reward container","Place in a reachable treasure alcove or against a wall, away from doorways.","No (current game behavior)","Gold01.png; Gold02.png; Crate 01.png","Current game opens chests by walking onto them. Confirm if you prefer a solid chest opened from an adjacent tile.","Draft",""
"Coffin.png","Furniture","Place lengthwise along a burial-room wall with a clear aisle beside it.","Yes","Tombstone 01.png; Wall Chain 01.png; Vase Grey.png","Keep upright in the supplied orientation. Confirm footprint separately from sprite height.","Draft",""
"Crate 01.png","Furniture","Cluster against storage-room walls or in corners. Keep doors and aisles clear.","Yes","Crate 01.png; Crate 02.png; Gold03.png","Mix both crate variants within small clusters rather than scattering evenly.","Draft",""
"Crate 02.png","Furniture","Cluster against storage-room walls or in corners. Keep doors and aisles clear.","Yes","Crate 01.png; Crate 02.png; Gold03.png","Mix both crate variants within small clusters rather than scattering evenly.","Draft",""
"Door Closed.png","Door / connector","Fit a doorway and align with the matching open-door sprite.","Yes while closed","Doors Open.png; Key.png; Botton 01.png","Closed double door. Opening and lock behavior require a design decision.","Draft",""
"Door Rock.png","Door / connector","Fit a stone doorway in a crypt or masonry wall.","Yes while closed (confirm)","Coffin.png; Tombstone 02.png; Key.png","Confirm whether this is an operable door or a sealed tomb entrance.","Draft",""
"Doors Open.png","Door / connector","Use the same doorway footprint as the closed double door.","No in opening; posts remain solid","Door Closed.png","Looks like the open counterpart of Door Closed.png. Keep the center traversable.","Draft",""
"Flag Blue Big.png","Wall decoration","Hang on exposed wall faces. Space evenly or pair around a focal point.","No","Lamp.png; Paiting Big.png; Throne.png","Long banner: allow vertical clearance and keep door openings clear. Preserve orientation.","Draft",""
"Flag Blue.png","Wall decoration","Hang on exposed wall faces. Space evenly or pair around a focal point.","No","Lamp.png; Paiting Big.png; Throne.png","Use one flag color per room or faction. Preserve orientation.","Draft",""
"Flag Green Big.png","Wall decoration","Hang on exposed wall faces. Space evenly or pair around a focal point.","No","Lamp.png; Paiting Big.png; Throne.png","Long banner: allow vertical clearance and keep door openings clear. Preserve orientation.","Draft",""
"Flag Green.png","Wall decoration","Hang on exposed wall faces. Space evenly or pair around a focal point.","No","Lamp.png; Paiting Big.png; Throne.png","Use one flag color per room or faction. Preserve orientation.","Draft",""
"Flag Red Big.png","Wall decoration","Hang on exposed wall faces. Space evenly or pair around a focal point.","No","Lamp.png; Paiting Big.png; Throne.png","Long banner: allow vertical clearance and keep door openings clear. Preserve orientation.","Draft",""
"Flag Red.png","Wall decoration","Hang on exposed wall faces. Space evenly or pair around a focal point.","No","Lamp.png; Paiting Big.png; Throne.png","Use one flag color per room or faction. Preserve orientation.","Draft",""
"Flag Yellow Big.png","Wall decoration","Hang on exposed wall faces. Space evenly or pair around a focal point.","No","Lamp.png; Paiting Big.png; Throne.png","Long banner: allow vertical clearance and keep door openings clear. Preserve orientation.","Draft",""
"Flag Yellow.png","Wall decoration","Hang on exposed wall faces. Space evenly or pair around a focal point.","No","Lamp.png; Paiting Big.png; Throne.png","Use one flag color per room or faction. Preserve orientation.","Draft",""
"Gold Rock.png","Natural obstacle / resource","Place in a mining alcove or rare treasure area beside ordinary rocks.","Yes","Rock01.png; Rock02.png; Gold03.png","Looks like gold-bearing rock. Mining or resource interaction is unconfirmed.","Draft",""
"Gold01.png","Pickup / treasure detail","Group on a treasure-room floor or beside a chest.","No","Chest.png; Gold Rock.png","Confirm collectible gold versus purely visual treasure. Avoid implying rewards for decorative copies.","Draft",""
"Gold02.png","Pickup / treasure detail","Group on a treasure-room floor or beside a chest.","No","Chest.png; Gold Rock.png","Confirm collectible gold versus purely visual treasure. Avoid implying rewards for decorative copies.","Draft",""
"Gold03.png","Pickup / treasure detail","Group on a treasure-room floor or beside a chest.","No","Chest.png; Gold Rock.png","Confirm collectible gold versus purely visual treasure. Avoid implying rewards for decorative copies.","Draft",""
"Iron Door.png","Door / connector","Use at a cell or barred enclosure entrance.","Yes while closed","Iron Fance.png; Wall Chain 01.png","Confirm operable gate versus fixed barred opening.","Draft",""
"Iron Fance Moss.png","Barrier","Join into straight railing runs at enclosure edges. Leave a deliberate opening.","Yes","Iron Door.png; Wall Chain 02.png","Weathered variant for damp or abandoned rooms. Preserve upright orientation.","Draft",""
"Iron Fance.png","Barrier","Join into straight railing runs at enclosure edges. Leave a deliberate opening.","Yes","Iron Door.png; Wall Chain 02.png","Preserve upright orientation; verify end connections.","Draft",""
"Key.png","Pickup","Place on reachable floor or a display table before its associated lock.","No","Door Closed.png; Iron Door.png","Only use as a reward if a corresponding key/lock mechanic is approved.","Draft",""
"Lamp Big.png","Lighting / fixture","Place upright beside entrances or along room edges, spaced between other fixtures.","Yes (base only; confirm)","Flag Green.png; Iron Door.png; Throne.png","Looks like a standing lamp/post rather than a flame sprite. Confirm floor-mounted versus wall-mounted use and light effect.","Draft",""
"Lamp.png","Lighting / fixture","Place upright beside entrances or along room edges, spaced between other fixtures.","Yes (base only; confirm)","Flag Green.png; Iron Door.png; Throne.png","Looks like a standing lamp/post rather than a flame sprite. Confirm floor-mounted versus wall-mounted use and light effect.","Draft",""
"Paiting 1.png","Wall decoration","Mount on a clear back wall above furniture or between lights.","No","Table.png; Book shelf 01.png; Lamp.png","Keep upright. Do not put on floors or across door openings.","Draft",""
"Paiting 2.png","Wall decoration","Mount on a clear back wall above furniture or between lights.","No","Table.png; Book shelf 01.png; Lamp.png","Keep upright. Do not put on floors or across door openings.","Draft",""
"Paiting 3.png","Wall decoration","Mount on a clear back wall above furniture or between lights.","No","Table.png; Book shelf 01.png; Lamp.png","Keep upright. Do not put on floors or across door openings.","Draft",""
"Paiting 4.png","Wall decoration","Mount on a clear back wall above furniture or between lights.","No","Table.png; Book shelf 01.png; Lamp.png","Keep upright. Do not put on floors or across door openings.","Draft",""
"Paiting Big.png","Wall decoration","Mount on a clear back wall above furniture or between lights.","No","Table.png; Book shelf 01.png; Lamp.png","Use as an occasional focal point above a throne or reading area.","Draft",""
"Pile of Books 01.png","Floor / tabletop detail","Place near shelves or on reading tables.","No","Book shelf 01.png; Book shelf 02.png; Table.png","Small stack is proposed cosmetic; confirm whether tall stacks should block.","Draft",""
"Pile of Books 02.png","Floor / tabletop detail","Place near shelves or on reading tables.","No","Book shelf 01.png; Book shelf 02.png; Table.png","Small stack is proposed cosmetic; confirm whether tall stacks should block.","Draft",""
"Potion HP.png","Pickup / tabletop detail","Place on a supply table or reachable reward tile.","No","Table.png; Scroll.png; Chest.png","Health potion appearance. Confirm pickup versus cosmetic bottle.","Draft",""
"Potion Mana.png","Pickup / tabletop detail","Place on a supply table or reachable reward tile.","No","Table.png; Scroll.png; Chest.png","Mana potion appearance. Confirm pickup versus cosmetic bottle.","Draft",""
"Rock01.png","Natural obstacle","Cluster near cave edges or ruined wall sections, leaving routes around them.","Yes","Rock01.png; Rock02.png; Skulls.png","Small rock: proposed solid obstacle; confirm whether you prefer cosmetic rubble.","Draft",""
"Rock02.png","Natural obstacle","Cluster near cave edges or ruined wall sections, leaving routes around them.","Yes","Rock01.png; Rock02.png; Skulls.png","Larger rock: check collision footprint.","Draft",""
"Scroll.png","Tabletop detail / pickup","Place on a desk, shelf display, or reachable reward tile.","No","Table.png; Book Red.png; Potion Mana.png","Confirm decorative scroll versus readable or collectible item.","Draft",""
"Shield.png","Equipment display / pickup","Display on an armory wall or table; use floor placement only for deliberate loot.","No","Sword.png; Shield.png; Crate 01.png","Confirm wall-mounted display versus dropped equipment. Preserve lighting when mirroring.","Draft",""
"Skulls.png","Floor detail","Scatter sparingly near coffins, ruined walls, or burial corners.","No","Coffin.png; Tombstone 01.png; Rock01.png","Keep density low so skulls read as a deliberate location detail.","Draft",""
"Sword.png","Equipment display / pickup","Display on an armory wall or table; use floor placement only for deliberate loot.","No","Sword.png; Shield.png; Crate 01.png","Confirm wall-mounted display versus dropped equipment. Preserve lighting when mirroring.","Draft",""
"Table Long.png","Furniture","Place in reading or dining areas with a clear aisle around the group.","Yes","Chair01.png; Chair02.png; Book Red.png; Apple.png","Long table: use multiple chairs along its length. Confirm base footprint from the sprite.","Draft",""
"Table.png","Furniture","Place in reading or dining areas with a clear aisle around the group.","Yes","Chair01.png; Chair02.png; Book Red.png; Apple.png","Keep horizontal. Small items may sit on top without extra ground collision.","Draft",""
"Throne.png","Furniture","Center against the back wall of a ceremonial room. Leave a clear approach.","Yes","Flag Red Big.png; Paiting Big.png; Lamp Big.png","Rare focal point. Face into the room.","Draft",""
"Tombstone 01.png","Furniture","Use burial alcoves or orderly memorial rows with clear approaches.","Yes","Coffin.png; Vase Grey.png; Skulls.png","Keep upright. Pair with a memorial or coffin rather than unrelated storage.","Draft",""
"Tombstone 02.png","Furniture","Use burial alcoves or orderly memorial rows with clear approaches.","Yes","Coffin.png; Vase Grey.png; Skulls.png","Keep upright. Pair with a memorial or coffin rather than unrelated storage.","Draft",""
"Tombstone Moss.png","Furniture","Use burial alcoves or orderly memorial rows with clear approaches.","Yes","Coffin.png; Vase Grey.png; Skulls.png","Prefer damp or abandoned burial areas.","Draft",""
"Vase Grey Broken.png","Floor detail","Place sparse fragments near intact vases or abandoned room edges.","No","Vase Grey.png; Vase Yellow.png; Rock01.png","Suggested cosmetic debris. Do not imply a breakable-object mechanic unless approved.","Draft",""
"Vase Grey.png","Furniture","Place in corners, along walls, or in pairs flanking a memorial.","Yes","Coffin.png; Tombstone 02.png; Throne.png","Use small groups. Keep central travel lanes open.","Draft",""
"Vase Yellow Broken.png","Floor detail","Place sparse fragments near intact vases or abandoned room edges.","No","Vase Grey.png; Vase Yellow.png; Rock01.png","Suggested cosmetic debris. Do not imply a breakable-object mechanic unless approved.","Draft",""
"Vase Yellow.png","Furniture","Place in corners, along walls, or in pairs flanking a memorial.","Yes","Coffin.png; Tombstone 02.png; Throne.png","Use small groups. Keep central travel lanes open.","Draft",""
"Wall Chain 01.png","Wall decoration","Attach to exposed wall faces in cells or burial rooms.","No","Iron Door.png; Coffin.png; Lamp.png","Use sparse pairs. Not a freestanding floor obstacle.","Draft",""
"Wall Chain 02.png","Wall decoration","Attach to exposed wall faces in cells or burial rooms.","No","Iron Door.png; Coffin.png; Lamp.png","Use sparse pairs. Not a freestanding floor obstacle.","Draft",""
